tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N102UW,1998.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N103SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N103SY,,,DEHAVILLAND,DHC-3               ,,,,
N103US,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N104UW,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N105SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N105UW,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N106SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N107SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N107US,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N108SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N108UW,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N109SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N109UW,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N110SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N110UW,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N111US,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N112US,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N113SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N114SY,,,EMBRAER,ERJ 170-200 LR      ,,,,
N114UW,1999.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N116SY,,,EMBRAER,ERJ 170-200 LR      ,,,,
N117SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N117UW,2000.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N118SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N118US,2000.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N119SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N119US,2000.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N1200K,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1200K,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1201P,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N1201P,1998.0,Fixed wing multi engine,BOEING,767-332,2.0,330.0,,Turbo-fan
N120SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N120UA,,,BOEING,747-422             ,,,,
N121SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N121UA,,,SIKORSKY,UH-60A              ,,,,
N121UA,,,BOEING,747-422             ,,,,
N121UW,2000.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N122SY,,,EMBRAER S,ERJ 170-200 LR      ,,,,
N122UA,,,BOEING,747-422             ,,,,
N122US,2000.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N123UW,2000.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
